"country_id","category","value"
"CMR","158f",1
"CMR","158g",0
"CMR","158h",0
"CMR","159a",0
"CMR","159b",0
"CMR","159c",0
"CMR","159e",0
"CMR","159f",0
"CMR","159g",0
"CMR","159h",0
"CMR","159i",0
"CMR","159j",0
"CMR","159k",0
"CMR","159l",0
"CMR","160b",0
"CMR","160c",0
"CMR","160d",0
"CMR","160e",1
"CMR","79x",0.666666666667
"CMR","80x",1
"CMR","82x",0.666666666667
"COD","153a",1
"COD","153b",0
"COD","153c",0
"COD","153d",0
"COD","153e",1
"COD","153f",1
"COD","153g",1
"COD","158a",1
"COD","158b",1
"COD","158c",0
"COD","158d",0
"COD","158f",0
"COD","158g",0
"COD","158h",0
"COD","159a",0
"COD","159b",0
"COD","159c",0
"COD","159e",0
"COD","159f",0
"COD","159g",0
"COD","159h",0
"COD","159i",0
"COD","159j",0
"COD","159k",0
"COD","159l",0
"COD","160b",0
"COD","160c",0
"COD","160d",0
"COD","160e",0
"COD","79x",0
"COD","80x",0
"COD","82x",0
"COG","153a",0
"COG","153b",1
"COG","153c",1
"COG","153d",0
"COG","153e",1
"COG","153f",0
"COG","153g",0
"COG","158a",1
"COG","158b",1
"COG","158c",1
"COG","158d",0
"COG","158f",0
"COG","158g",0
"COG","158h",0
"COG","159a",0
"COG","159b",0
"COG","159c",0
"COG","159e",0
"COG","159f",0
"COG","159g",0
"COG","159h",0
"COG","159i",0
"COG","159j",0
"COG","159k",0
"COG","159l",0
"COG","160b",0
"COG","160c",0
"COG","160d",0
"COG","160e",0
"COG","79x",0
"COG","80x",0
"COG","82x",0
"COK","153a",0
"COK","153b",0
"COK","153c",0
"COK","153d",0
"COK","153e",0
"COK","153f",0
"COK","153g",0
"COK","158a",0
"COK","158b",0
"COK","158c",0
"COK","158d",0
"COK","158f",0
"COK","158g",0
"COK","158h",0
"COK","159a",0
"COK","159b",0
"COK","159c",0
"COK","159e",0
"COK","159f",0
"COK","159g",0
"COK","159h",0
"COK","159i",0
"COK","159j",0
"COK","159k",0
"COK","159l",0
"COK","160b",0
"COK","160c",0
"COK","160d",0
"COK","160e",0
"COK","79x",0
"COK","80x",0
"COK","82x",0
"COL","153a",1
"COL","153b",1
"COL","153c",1
"COL","153d",1
"COL","153e",1
"COL","153f",1
"COL","153g",1
"COL","158a",1
"COL","158b",1
"COL","158c",0
"COL","158d",1
"COL","158f",0
"COL","158g",0
"COL","158h",0
"COL","159a",1
"COL","159b",0
"COL","159c",0
"COL","159e",0
"COL","159f",0
"COL","159g",1
"COL","159h",0
"COL","159i",0
"COL","159j",0
"COL","159k",1
"COL","159l",1
"COL","160b",0
"COL","160c",0
"COL","160d",0
"COL","160e",0
"COL","79x",0.333333333333
"COL","80x",1
"COL","82x",0.666666666667
"COM","153a",1
"COM","153b",1
"COM","153c",0
"COM","153d",1
"COM","153e",1
"COM","153f",0
"COM","153g",1
"COM","158a",1
"COM","158b",1
"COM","158c",1
"COM","158d",1
"COM","158f",1
"COM","158g",0
"COM","158h",1
"COM","159a",0
"COM","159b",0
"COM","159c",0
"COM","159e",0
"COM","159f",0
"COM","159g",0
"COM","159h",0
"COM","159i",0
"COM","159j",0
"COM","159k",0
"COM","159l",0
"COM","160b",0
"COM","160c",0
"COM","160d",0
"COM","160e",0
"COM","79x",0.666666666667
"COM","80x",1
"COM","82x",0
"CPV","153a",1
"CPV","153b",1
"CPV","153c",1
"CPV","153d",0
"CPV","153e",1
"CPV","153f",0
"CPV","153g",1
"CPV","158a",1
"CPV","158b",0
"CPV","158c",0
"CPV","158d",1
"CPV","158f",1
"CPV","158g",0
"CPV","158h",1
"CPV","159a",0
"CPV","159b",0
"CPV","159c",0
"CPV","159e",0
"CPV","159f",0
"CPV","159g",0
"CPV","159h",0
"CPV","159i",0
"CPV","159j",0
"CPV","159k",0
"CPV","159l",0
"CPV","160b",0
"CPV","160c",0
"CPV","160d",0
"CPV","160e",0
"CPV","79x",0.666666666667
"CPV","80x",0.5
"CPV","82x",0.333333333333
"CRI","153a",1
"CRI","153b",1
"CRI","153c",1
"CRI","153d",1
"CRI","153e",1
"CRI","153f",1
"CRI","153g",1
"CRI","158a",1
"CRI","158b",1
"CRI","158c",1
"CRI","158d",1
"CRI","158f",1
"CRI","158g",1
"CRI","158h",0
"CRI","159a",1
"CRI","159b",1
"CRI","159c",1
"CRI","159e",0
"CRI","159f",0
"CRI","159g",1
"CRI","159h",0
"CRI","159i",0
"CRI","159j",1
"CRI","159k",1
"CRI","159l",1
"CRI","160b",0
"CRI","160c",0
"CRI","160d",1
"CRI","160e",1
"CRI","79x",0.333333333333
"CRI","80x",1
"CRI","82x",0.666666666667
"CUB","153a",1
"CUB","153b",1
"CUB","153c",1
"CUB","153d",1
"CUB","153e",1
"CUB","153f",1
"CUB","153g",1
"CUB","158a",1
"CUB","158b",1
"CUB","158c",0
"CUB","158d",1
"CUB","158f",1
"CUB","158g",1
"CUB","158h",1
"CUB","159a",1
"CUB","159b",1
"CUB","159c",0
"CUB","159e",1
