"dimension","region_id","region_label","score_o","score","score_dif"
"status",89,"South Georgia and the South Sandwich Islands",,39.255417255268,
"status",90,"Prince Edward Islands",,39.255417255268,
"status",92,"Amsterdam Island and Saint Paul Island",,39.255417255268,
"status",93,"Kerguelen Islands",,39.255417255268,
"trend",39,"Maldives",-0.15,0.448961866233997,0.598961866233997
"trend",17,"Papua New Guinea",0,-0.229442688169357,-0.229442688169357
"trend",122,"Saint Lucia",-0.01,-0.16764499284756,-0.15764499284756
"trend",6,"Vanuatu",0.02,-0.109799174177005,-0.129799174177005
"trend",78,"Lebanon",0,0.124185541185111,0.124185541185111
"trend",232,"Bosnia and Herzegovina",0,-0.120515737082327,-0.120515737082327
"trend",5,"New Caledonia",0.01,-0.106934484833393,-0.116934484833393
"trend",7,"Solomon Islands",0.01,-0.106934484833393,-0.116934484833393
"trend",250,"Aruba",0.01,-0.101939482072897,-0.111939482072897
"trend",38,"British Indian Ocean Territory",-0.03,0.0668444741037909,0.0968444741037909
"trend",71,"Bulgaria",0,-0.0948117291049258,-0.0948117291049258
"trend",52,"Bahrain",-0.02,0.0709065752615413,0.0909065752615413
"trend",103,"Sao Tome and Principe",-0.01,0.0758860489606995,0.0858860489606995
"trend",19,"Tuvalu",0.01,-0.0723229676706607,-0.0823229676706606
"trend",146,"Pitcairn",0.01,-0.0723229676706607,-0.0823229676706606
"trend",147,"French Polynesia",0.01,-0.0723229676706607,-0.0823229676706606
"trend",151,"American Samoa",0.01,-0.0723229676706607,-0.0823229676706606
"trend",152,"Samoa",0.01,-0.0723229676706607,-0.0823229676706606
"trend",153,"Cook Islands",0.01,-0.0723229676706607,-0.0823229676706606
"trend",154,"Niue",0.01,-0.0723229676706607,-0.0823229676706606
"trend",155,"Tonga",0.01,-0.0723229676706607,-0.0823229676706606
"trend",156,"Tokelau",0.01,-0.0723229676706607,-0.0823229676706606
"trend",161,"Wallis and Futuna",0.01,-0.0723229676706607,-0.0823229676706606
"trend",190,"Qatar",-0.01,-0.089648080015637,-0.079648080015637
"trend",77,"Syria",0.02,0.0986420755903719,0.0786420755903719
"trend",136,"Guatemala",0,-0.0776680937729027,-0.0776680937729027
"trend",65,"Gambia",-0.01,-0.0814555401455749,-0.071455540145575
"trend",220,"Sint Maarten",0.07,0.000535814063459298,-0.0694641859365407
"trend",215,"Jordan",-0.01,0.0550010901007306,0.0650010901007306
"trend",82,"Albania",-0.01,-0.0708274325435333,-0.0608274325435333
"trend",118,"Anguilla",-0.06,-0.000382049901940752,0.0596179500980592
"trend",202,"Tanzania",0,-0.0575142465970865,-0.0575142465970865
