"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"197","Innue Essipit","First Nations","48.333435059","-69.399963379","460","1979","24.375","199.641460503849"
"198","Pacheedaht First Nation","First Nations","48.578796387","-124.40826416","268","1979","23.2083333333333","126.084735410165"
"199","Splatsin First Nation","First Nations","50.550667597","-119.133367891","528","1979","23.2083333333333","158.936536974505"
"200","Samahquam","First Nations","49.991111111","-122.456944444","323","1979","23.2083333333333","126.642039526633"
"201","Peters","First Nations","49.29747","-121.656732","98","1979","23.2083333333333","222.133425164646"
"202","Semiahmoo","First Nations","49.014174","-122.777581","536","1979","23.2083333333333","123.567080018146"
"203","Scowlitz","First Nations","49.245","-121.995","230","1979","23.2083333333333","133.869310233507"
"204","Bridge River","First Nations","50.813888889","-122.083055556","377","1979","23.2083333333333","262.967082104107"
"205","Gitanmaax","First Nations","55.255","-127.671111111","210","1979","23.2083333333333","230.038113058342"
"206","Ulkatcho","First Nations","52.475402832","-125.300598145","8","1979","23.2083333333333","147.195390460304"
"207","N'Quatqua","First Nations","50.528055556","-122.483888889","309","1979","23.2083333333333","125.303090201176"
"208","Gwa'Sala-Nakwaxda'xw","First Nations","50.733215332","-127.498596191","545","1979","23.2083333333333","130.186261592725"
"209","Lhtako Dene Nation","First Nations","52.955200195","-122.450500488","121","1979","23.2083333333333","134.453669941811"
"210","Penticton","First Nations","49.468055556","-119.673055556","9","1979","23.2083333333333","124.628994345615"
"211","Takla Lake First Nation","First Nations","55.483032227","-125.968566895","487","1979","23.2083333333333","214.165508627709"
"212","Lhoosk'uz Dene Nation","First Nations","53.090820312","-124.488098145","207","1979","23.2083333333333","122.285815186789"
"213","Old Massett Village Council","First Nations","54.038635254","-132.180175781","281","1979","23.2083333333333","129.52552504545"
"214","Tataskweyak Cree Nation","First Nations","56.245317478","-96.095435139","324","1979","22.625","184.404959572966"
"215","Whispering Pines/Clinton","First Nations","50.986816406","-120.24786377","97","1979","23.2083333333333","125.072442671239"
"216","Fort Folly","First Nations","45.892211914","-64.495483398","61","1979","25.8166666666667","213.403458325002"
"217","Elsipogtog First Nation","First Nations","46.585833","-64.985833","296","1979","25.8166666666667","127.754848929896"
"218","Première Nation des Abénakis de Wôlinak","First Nations","46.328595491","-72.41895858","300","1979","23.8583333333333","224.118616097009"
"219","Heiltsuk","First Nations","52.166944444","-128.146944444","213","1979","23.2083333333333","132.196942373481"
"220","Wagmatcook","First Nations","46.082100621","-60.91523223","513","1979","25.8166666666667","132.982598468518"
"221","Cheslatta Carrier Nation","First Nations","54.005615234","-125.712585449","313","1979","23.2083333333333","122.760160275872"
"222","Upper Similkameen","First Nations","49.355041504","-120.078308105","533","1979","23.2083333333333","122.466877229882"
"223","Ehattesaht","First Nations","49.873840332","-126.976196289","380","1979","23.2083333333333","130.934126944207"
"224","Shamattawa First Nation","First Nations","55.858398437","-92.096069336","100","1979","22.625","230.803250659413"
"225","Gitsegukla","First Nations","55.096944444","-127.828888889","559","1979","23.2083333333333","127.455987501568"
"226","Cree Nation of Chisasibi","First Nations","53.789166667","-78.930555556","366","1979","23.95","134.20808281148"
"227","Conseil de la Première Nation Abitibiwinni","First Nations","48.598888889","-78.121111111","5","1979","23.95","126.113736692779"
"228","Seabird Island","First Nations","49.273055556","-121.721111421","542","1979","23.2083333333333","132.958069538505"
"229","Lyackson","First Nations","49.04119873","-123.636779785","182","1979","23.2083333333333","174.49585923173"
"230","Oweekeno/Wuikinuxv Nation","First Nations","51.681944444","-127.213888889","272","1979","23.2083333333333","122.257012279862"
"231","Tseycum","First Nations","48.66583252","-123.450866699","143","1979","23.2083333333333","120.122323554891"
"232","Oromocto","First Nations","45.851388889","-66.463611111","452","1979","24.375","123.123553372292"
"233","Glooscap First Nation","First Nations","45.0425","-64.236944","315","1979","24.5166666666667","221.281775301883"
"234","Soowahlie","First Nations","49.082514978","-121.968964671","333","1979","23.2083333333333","205.719840273339"
"235","Skeetchestn","First Nations","50.841186523","-120.948791504","408","1979","23.2083333333333","227.694612738813"
"236","Gitwangak","First Nations","55.096178378","-128.075998026","66","1979","23.2083333333333","166.681616608406"
"237","Nee-Tahi-Buhn","First Nations","53.992867019","-125.848692261","86","1979","23.2083333333333","126.802899363066"
"238","Soda Creek","First Nations","52.262207031","-122.093383789","360","1979","23.2083333333333","206.554928482739"
"239","Wet'suwet'en First Nation","First Nations","54.331420898","-125.893493652","220","1979","23.2083333333333","149.578591913478"
"240","Aitchelitz","First Nations","49.150411515","-121.986881612","362","1979","23.2083333333333","220.13540099428"
"241","War Lake First Nation","First Nations","56.06842041","-95.596496582","275","1979","22.625","195.1547302682"
"242","Esgenoopetitj First Nation","First Nations","47.205678093","-65.117289232","141","1979","25.8166666666667","123.202076211162"
"243","Songhees First Nation","First Nations","48.449829102","-123.425476074","418","1979","23.2083333333333","134.598602848266"
"244","Saik'uz First Nation","First Nations","53.938415527","-124.125305176","547","1979","23.2083333333333","191.965098421337"
"245","La Nation Micmac de Gespeg","First Nations","48.875793457","-64.554870605","463","1979","25.8166666666667","129.84566394065"
"246","Pictou Landing","First Nations","45.669444444","-62.652777778","448","1979","25.8166666666667","125.988871142984"
"247","Nisga'a Village of Gingolx","First Nations","54.996032715","-129.956970215","169","1979","23.2083333333333","118.929729275904"
"248","Abegweit","First Nations","46.359802246","-62.910766602","318","1979","25.8166666666667","124.221125751803"
"249","Neskonlith","First Nations","50.783996582","-119.753967285","450","1979","23.2083333333333","121.37921847395"
"250","Eel Ground","First Nations","46.987609863","-65.634216309","562","1979","24.375","197.296043589646"
"251","Qualicum First Nation","First Nations","49.396789551","-124.61529541","43","1979","23.2083333333333","133.855829038842"
"252","Qalipu Mi'kmaq First Nation","First Nations","48.950563062","-57.93777515","218","1979","27.225","130.419084279315"
"253","Union Bar","First Nations","49.443055556","-121.433055556","43","1979","23.2083333333333","144.856213815195"
"254","The Crees of the Waskaganish First Nation","First Nations","51.481532005","-78.759963618","249","1979","23.95","276.837259057754"
"255","Douglas","First Nations","49.755474212","-122.164833005","270","1979","23.2083333333333","122.467082009162"
"256","Alexis Creek","First Nations","52.138427734","-123.959594727","457","1979","23.2083333333333","229.020051099289"
"257","Behdzi Ahda"" First Nation","First Nations","67.020019531","-126.070007324","197","1979","19.075","221.726748580674"
"258","Constance Lake","First Nations","49.811944444","-84.128888889","115","1979","24.1833333333333","126.595482607161"
"259","Skin Tyee","First Nations","53.998413086","-125.879394531","124","1979","23.2083333333333","129.976053251518"
"260","Shxw'ow'hamel First Nation","First Nations","49.341846","-121.607881","151","1979","23.2083333333333","128.555520280804"
"261","Ahousaht","First Nations","49.280822754","-126.057800293","183","1979","23.2083333333333","126.432247843452"
"262","Gwawaenuk Tribe","First Nations","50.923924624","-126.820881738","342","1979","23.2083333333333","130.839309953728"
"263","T'Sou-ke First Nation","First Nations","48.386230469","-123.695495605","235","1979","23.2083333333333","126.651928674889"
"264","Sheshatshiu Innu First Nation","First Nations","53.518798828","-60.146179199","93","1979","25.8166666666667","217.616578473392"
"265","Yakweakwioose","First Nations","49.133055556","-121.938055556","458","1979","23.2083333333333","123.768787806735"
"266","Cape Mudge","First Nations","50.018055556","-125.293055556","18","1979","23.2083333333333","154.27875498036"
"267","Pabineau","First Nations","47.532222222","-65.669166667","274","1979","25.8166666666667","191.260338393942"
"268","Sts'ailes","First Nations","49.297790527","-121.910888672","16","1979","23.2083333333333","156.14434157418"
"269","Bande des Innus de Pessamit","First Nations","48.938301756","-68.638164685","340","1979","24.375","157.324511229635"
"270","Oregon Jack Creek","First Nations","50.619628906","-121.319580078","451","1979","23.2083333333333","175.382247551098"
"271","Eastmain","First Nations","52.234169403","-78.518392033","505","1979","23.95","135.203515970787"
